symbol,binance,bingx,bitget,bybit,lbank,mexc,okx,kcex
LABUBU,,,,,6,6,,
LADYS,,,,,,12,,
LAI,,,,,,7,,
LAIKA,,,,,,9,,
LAND,,,,,,7,,
LARRY,,,,,4,,,
LAT,,,,,,6,6,
LAVA,,4,,,,5,,
LAYER,6,4,4,,4,4,4,
LAZIO,,,,,4,4,,
LB,,,,,10,10,,
LBAI,,,,,,9,,
LBM,,,,,,6,,
LBTC,,,,,,2,,
LCG,,,,,,7,,
LDO,6,4,4,4,4,4,4,
LEARN,,,,,,5,,
LEE,,,,,,3,,
LEMX,,,,,4,,,
LEND,4,,,,,,,
LEO,,,,,3,,3,
LEOPARD,,,,,15,,,
LEOX,,,,,,5,,
LETSBONK,,,,,6,6,,
LEVER,7,,,,,8,,
LFIT,,,,,5,,,
LFT,,,,,5,5,,
LGCT,,,,,,4,,
LIBERTY,,,,,5,,,
LIF3,,,,,,6,,
LIFE,,,,,,4,,
LIGHT,7,,4,4,,4,,
LIKE,,,,,,6,,
LIME,,,,,,6,,
LIMO,,,,,6,,,
LINA,6,,,,,,,
LINEA,7,6,6,6,6,6,6,
LINGO,,,,,,6,,
LINK,3,3,3,3,2,2,3,
LINON,,,,,,2,,
LION,,,,,6,,,
LISTA,7,4,4,4,4,5,,
LIT,6,,3,,3,,,
LITT,,,,,,5,,
LIVE,,,,,,8,,
LKI,,,,,,7,,
LKY,,,,,,4,,
LL,,,,,,6,,
LLD,,,,,,3,,
LLM,,,,,7,,,
LLYON,,,,,,2,,
LM,,,,,6,,,
LMWR,,,,,5,5,,
LNDX,,,,,,5,,
LNQ,,,,,,6,,
LOBO,,,,,,7,,
LOCK,,,,,,4,,
LOCKIN,,,,,6,,,
LOFI,,,,,,5,,
LOGX,,,,,,6,,
LOKA,7,,,,,,,
LONG,,5,,,,,,
LOOK,,,,,,5,,
LOOKS,,,,,,6,,
LOOM,7,,,,,,,
LOOP,,,,,,5,,
LOT,,,,,,5,,
LPT,3,3,3,3,3,3,3,
LQR,,,,,,5,,
LQTY,6,4,4,4,4,4,4,
LRC,5,5,5,5,5,5,5,
LSD,,,,,,5,,
LSETH,,,,,1,,,
LSK,6,4,4,4,,,4,
LTC,2,2,2,2,2,2,2,
LTT,,,,,,7,,
LUCE,,,,,7,7,,
LUM,,,,,,4,,
LUMI,,,,,,6,,
LUMIA,7,4,4,5,4,5,,
LUNA,4,5,5,,4,5,5,
LUNC,,,8,,8,8,,
LUR,,,,,4,,,
LVLY,,,,,,5,,
LVVA,,,,,,6,,
LYP,,,,,,5,,
LYX,,,,,,4,,
LZM,,,,,5,,,
M,7,4,5,4,,5,,
M87,,,,,8,8,,
MA,,,2,,,7,,
MAD,,,,,,8,,
MAGATRUMP,,,,,,5,,
MAGIC,6,4,4,5,4,5,5,
MAIV,,,,,,6,,
MAJOR,,,,,4,5,4,
MAMO,,,,,5,5,,
MAN,,,,,,3,,
MANA,4,4,4,5,4,4,4,
MANEKI,,,,,7,7,,
MANTA,7,5,5,5,5,5,,
MANYU,,,,,12,12,,
MAON,,,,,,2,,
MAP,,,,,,5,,
MAPO,,,,,,6,,
MARS4,,,,,,8,,
MARSMI,,,,,5,,,
MAS,,,,,,5,,
MASA,,,,,,5,,
MASK,4,4,3,4,4,4,4,
MAT,,,,,,4,,
MATES,,,,,7,,,
MATH,,,,,,5,,
MAV,7,5,5,5,5,5,,
MAVIA,7,5,,5,,5,,
MBD,,,,,,8,,
MBG,,,,,4,4,,
MBL,7,,,,,6,,
MBOX,7,5,4,5,5,5,,
MBP,,,,,,5,,
MBX,,,,,,5,,
MCDON,,,,,,2,,
MCDULL,,,,,,9,,
MCDX,,,,,,2,,
MCN,,,,,4,4,,
MCOIN,,,,,5,5,,
MCRT,,,,,,7,,
MCTP,,,,,5,,,
MDAO,,,,,,6,,
MDT,7,,,,,,,
ME,7,5,4,4,4,4,4,
MEA,,,,,,6,,
MEE,,,,,,6,,
MEER,,,,,,6,,
MEFAI,,,,,6,,,
MEGALAND,,,,,,7,,
MELANIA,6,4,4,5,4,5,,
MEME,7,6,6,7,,7,7,
MEMECOIN,,,,,6,,,
MEMEFI,7,,,,7,7,7,
MEMESAI,,,,,,7,,
MEMHASH,,,,,,7,,
MENGO,,,,,,5,5,
MERL,7,5,4,5,4,5,5,
MET,7,,4,4,,4,4,
META,,,2,,4,,,
METAL,,,,,,5,,
METANIA,,,,,,5,,
METAON,,,,,,2,,
METAQ,,,,,5,,,
METAV,,,,,6,,,
METAX,,2,,,2,2,,
METIS,4,3,3,3,,3,3,
MEW,7,6,6,7,7,7,7,
MEX,,,,,9,9,,
MEY,,,,,,5,,
MF,,,,,4,,,
MGO,,,,,6,5,,
MGT,,,,,,7,,
MICHI,,,,,,5,,
MICRO,,,,,,6,,
MIGGLES,,,,,6,6,,
MIH,,,,,,4,,
MILK,7,,,,6,6,,
MILLI,,,,,,9,,
MIN,,,,,,5,,
MINA,7,4,4,5,4,5,5,
MIND,,,,,8,,,
MINDFAK,,,,,,7,,
MINI,,,,,6,,,
MINIMA,,,,,,5,,
MIRA,7,,4,4,,4,,
MITO,7,5,5,5,,5,,
MIU,,,,,,11,,
MKR,2,,,,,,,
ML,,,,,,5,,
MLC,,,,,,4,,
MLG,,,,,6,,,
MLN,5,3,3,3,3,3,,
MLT,,,,,,5,,
MM,,,,,7,,,
MMON,,,,,,6,,
MMT,7,4,4,4,4,4,4,
MMUI,,,,,5,4,,
MNDE,,,,,,5,,
MNEE,,,,,3,,,
MNSRY,,,,,,5,,
MNT,,5,,4,4,4,,
MNTC,,,,,,4,,
MOBILE,,,,,,7,,
MOBY,,,,,6,6,,
MOCA,7,,5,5,,5,,
MOCHI,,,,,,10,,
MODE,,,,,,7,,
MOEW,,,,,,7,,
MOG,,,,,10,10,,
MOMO,,,,,,6,,
MON,7,,5,6,5,5,,
MOODENG,7,5,5,5,5,5,5,
MOONPIG,,,,,,7,,
MORE,,,,,6,6,,
MORI,,5,,,5,5,,
MORPHO,7,4,4,4,4,4,4,
MOT,,,,,,,4,
MOTHER,,,,,,6,,
MOVE,7,5,5,5,5,5,5,
MOVR,6,3,3,3,3,3,,
MPC,,,,,9,5,,
MPLX,,,,,5,,,
MRHB,,,,,7,,,
MRSOON,,,,,,8,,
MRVLON,,,,,,2,,
MSFTON,,,,,,2,,
MSQ,,,,,,3,,
MSTR,,,2,,,,,
MSTRON,,,,,,2,,
MSTRX,,,,,2,,,
MTC,,,,,6,5,,
MTL,4,4,4,4,,,,
MTP,,,,,,7,,
MTRG,,,,,,5,,
MTT,,,,,,2,,
MTV,,,,,,7,,
MUBARAK,7,5,5,5,5,6,,
MUBI,,,,,,6,,
MUMU,,,,,,10,,
MUON,,,,,,2,,
MVRK,,,,,,5,,
MX,,,,,4,4,,
MXNA,,,,,,6,,
MYRIA,,,,,,8,,
MYRO,7,,,,6,6,,
MYST,,,,,,4,,
MYTH,,,,,4,4,,
MYX,7,5,4,4,3,5,,
NAI,,,,,,6,,
NAILONG,,,,,7,,,
NAIT,,,,,,6,,
NAKA,,,,,4,5,,
NAORIS,7,5,5,5,,5,,
NAP,,,,,9,4,,
NATIX,,,,,,6,,
NAV,,,,,,5,,
NAVI,,,,,,5,,
NAVX,,,,,,5,5,
NC,,,,,6,6,,
NCDT,,,,,,4,,
NCT,,,,,,6,,
NDC,,,,,,6,,
NEAR,4,4,4,3,3,3,3,
NEET,,,,,6,,,
NEI,,,,,8,,,
NEIRO,8,,,,8,7,7,
NEO,3,3,3,3,3,3,3,
NEON,,,,,,5,,
NERO,,,,,,6,,
NEWM,,,,,,7,,
NEWT,7,,4,5,,5,,
NEXA,,,,,,10,,
NEXM,,,,,,6,,
NEXO,,,,,4,4,,
NFE,,,,,,7,,
NFLXON,,,,,,2,,
NFP,7,5,5,5,5,5,,
NFT,,,,,,10,10,
NIBI,,,,,,6,,
NIGELLA,,,,,,4,,
NIGHT,7,5,5,5,5,5,6,
NIL,6,5,5,5,4,5,,
NILA,,,,,5,,,
NIM,,,,,,5,,
NIZA,,,,,6,5,,
NKEON,,,,,,2,,
NKN,5,,,6,,5,,
NLINK,,,,,,16,,
NLS,,,,,,6,,
NMR,6,3,3,3,2,3,3,
NMT,,,,,,3,,
NOBODY,,,,,6,6,,
NODE,,,,,,5,6,
NODL,,,,,,7,,
NOM,7,,5,6,6,6,,
NOS,,,,,,5,,
NOT,7,7,7,7,7,7,7,
NOVA,,,,,,5,,
NOW,,,,,,5,,
NOWON,,,,,,2,,
NPC,,,,,,6,,
NPCS,,,,,,6,,
NRG,,,,,5,5,,
NRN,,,,,,5,,
NS,,,,5,,5,,
NST,,,,,,3,6,
NT,,,,,,,5,
NTRN,6,5,5,5,5,5,,
NTX,,,,,,5,,
NU,4,,,,,,,
NUB,,,,,,5,,
NULS,7,,,,,,,
NUM,,,,,,6,,
NUMI,,4,,,,5,,
NURA,,,,,8,,,
NVDA,,,2,,,,,
NVDAON,,,,,2,2,,
NVDAX,,2,,,2,2,,
NWS,,,,,,6,,
NXPC,7,5,4,4,4,4,,
NXRA,,,,,,5,,
NYM,,,,,,5,,
OAS,,,,,,6,,
OBICOIN,,,,,,6,,
OBOL,7,,,,5,5,,
OBT,,,,6,,6,,
OCEAN,5,,,,,,,
OCT,,,,,,5,,
OCTA,,,,,,4,,
ODOS,,,,,,6,,
OFN,,,,,,6,,
OFT,,,,,,4,,
OG,6,4,4,3,,3,,
OGN,4,,5,5,,5,,
OGPU,,,,,,4,,
OGY,,,,,6,6,,
OHO,,,,,,6,,
OIK,,,,,,6,,
OKB,,2,,2,2,3,2,
OL,7,5,5,5,5,5,5,
OLAS,,,,,,4,,
OM,7,,5,5,5,5,5,
OMAX,,,,,8,8,,
OMFG,,,,,4,,,
OMG,4,,,,,5,,
OMI,,,,,,7,7,
OMNI,4,,,,,,,
OMNOM,,,,,,13,,
ONDO,7,4,4,4,4,5,4,
ONE,5,5,6,6,,6,6,
ONG,7,5,4,5,,5,,
ONI,,,,,,5,,
ONT,4,4,4,5,,5,5,
OOE,,,,,,6,,
OORT,,,,,,5,,
OP,7,4,4,4,4,4,4,
OPAD,,,,,,7,,
OPEN,7,,4,4,4,5,,
OPENX,,,,,4,5,,
OPT,,,,,,5,4,
OPUL,,,,,,6,,
ORAI,,,,,,4,,
ORAIX,,,,,,5,,
ORBS,7,,,6,6,,6,
ORCA,7,3,3,4,3,3,,
ORCL,,,2,,,,,
ORCLON,,,,,,2,,
ORDER,7,4,4,5,5,4,,
ORDI,6,3,3,3,3,3,3,
ORE,,2,,,2,,,
ORNJ,,,,,,6,,
ORT,,,,,,7,,
OSAK,,,,,,10,,
OSHI,,,,,,6,,
OSMO,,,,,5,5,,
OVL,,,,,,5,,
OVO,,,,,4,,,
OVPP,,,,,,5,,
OVR,,,,,,4,,
OXT,7,5,5,5,,5,,
OZO,,,,,,4,,
OZONE,,,,,3,3,,
P3D,,,,,,7,,
PAAL,,,,,,5,,
PACK,,,,,,5,,
PAI,,,,,,5,,
PAID,,,,,,5,,
PAL,,,,,6,6,,
PALM,,,,,,6,,
PART,,,,,,4,,
PARTI,7,5,4,5,4,5,5,
PAW,,,,,,12,,
PAWS,,,,,,9,,
PAXG,4,2,2,1,2,2,1,
PBTC,,,,,,4,,
PBX,,,,,,5,,
PDA,,,,,,6,,
PDEX,,,,,5,,,
PEAQ,,,5,5,,5,,
PECH,,,,,,12,,
PEEZY,,,,,9,,,
PEIPEI,,,,,,11,,
PELL,,,,,,7,,
PENDLE,7,4,4,4,3,3,3,
PENG,,,,,,5,,
PENGU,7,6,6,6,6,6,6,
PEOPLE,5,5,5,6,6,6,6,
PEP,,,2,,,7,,
PEPE,,,10,,9,9,9,
PEPECOIN,,,,,,4,,
PEPEONTRON,,,,,5,,,
PEPON,,,,,,2,,
PEPPER,,,,,,12,,
PEPU,,,,,7,7,,
PERP,6,,,,5,5,,
PERRY,,,,,7,,,
PHA,7,5,5,5,5,5,5,
PHB,7,4,4,4,,4,,
PHI,,,,,,6,,
PHIL,,,,,,6,,
PHL,,,,,,5,,
PHNIX,,,,,,9,,
PI,,4,4,,4,5,4,
PIB,,,,,,7,,
PIG,,,,,,11,,
PIGE,,,,,14,,,
PIGGY,,,,,,5,,
PIN,,,,,4,4,,
PINS,,,,,7,,,
PINU100X,,,,,7,,,
PIPE,,4,,,,5,,
PIPPIN,7,5,5,5,6,6,,
PIT,,,,,,13,,
PIVX,,,,,,4,,
PIXEL,7,5,5,6,6,6,6,
PIXFI,,,,,,8,,
PKR,,,,,,7,,
PLAY,7,,,,,5,,
PLB,,,,,,4,,
PLENA,,,,,,7,,
PLN,,,,,,5,,
PLTRON,,,,,2,2,,
PLUME,7,5,5,5,,5,,
PMT,,,,,,5,,
PNG,,,,,,5,,
PNIC,,,,,,6,,
PNUT,7,5,5,5,5,5,5,
POKT,,,,,,6,,
POL,7,5,4,5,4,4,4,
POLIS,,,,,,5,,
POLS,,,,,,5,,
POLYX,7,5,5,5,,4,,
POND,,,,,6,6,,
PONKE,7,,,5,,5,,
POODL,,,,,12,,,
POOH,,,,,,12,,
POP,,,,,,7,,
POPCAT,7,4,4,5,5,5,,
POPG,,,,,5,,,
POR,,,,,,4,4,
PORK,,,,,,11,,
PORT3,7,,,,5,6,,
PORTAL,7,5,5,5,5,5,,
PORTO,,,,,,4,,
POWER,7,5,5,,5,5,,
POWR,7,4,4,5,,,,
POX,,,,,4,,,
PPC,,,,,,4,,
PRAI,,,,,6,6,,
PRCL,,,,,5,5,5,
PRI,,,,,4,,,
PRO,,,,,,4,,
PROM,7,3,4,3,3,3,,
PROMPT,7,5,,5,5,5,5,
PROPC,,,,,,4,,
PROPS,,,,,6,6,,
PROS,,,,,,5,,
PROVE,6,4,4,4,4,4,4,
PRTG,,,,,,4,,
PRX,,,,,,4,,
PSG,,,,,,4,,
PSTAKE,,,,,,6,,
PTB,7,6,,6,,6,,
PTC,,,,,7,6,,
PTEK,,,,,4,,,
PTH,,,,,,5,,
PUBLIC,,,,,,5,,
PUFFER,7,5,4,5,5,4,,
PUMP,7,6,6,,6,6,6,
PUMPBTC,7,5,,5,5,5,,
PUNDIAI,,,,,,2,,
PUNDIX,7,4,4,4,,4,,
PUP,,,,,6,6,,
PUPPIES,,,,,10,,,
PURR,,,,,,5,,
PUSH,,,,,,5,,
PUSS,,,,,6,6,,
PVT,,,,,,6,,
PWEASE,,,,,6,,,
PX,,,,,,4,,
PXP,,,,,,5,,
PYR,,,4,4,4,4,,
PYTH,7,5,4,5,5,5,5,
PYTHIA,,,,,,6,,
PYUSD,,,,,,,4,
PZP,,,,,,5,,
Q,7,6,6,6,,6,,
QAI,,,,,,2,,
QBX,,,,,,6,,
QCOMON,,,,,,2,,
QDX,,,,,,5,,
QGOV,,,,,,5,,
QI,,,,,6,,,
QKC,,,,,,6,,
QNT,6,2,2,2,2,2,,
QORPO,,,,,,5,,
QQQON,,,,,,2,,
QQQX,,,,,2,,,
QRL,,,,,4,5,,
QTUM,3,3,3,4,3,3,3,
QUACK,,,,,,13,,
QUAI,,,,,5,5,,
QUBIC,,,,,10,10,,
QUICK,7,,,,,5,,
RABI,,,,,,7,,
RACA,,,,,,8,,
RAD,6,,,,4,4,,
RAI,,,,,4,4,,
RAIN,,,,,7,7,,
RARE,7,5,5,5,5,5,,
RARI,,,,,,4,,
RATS,,8,,,8,8,,
RAY,3,4,4,,4,4,4,
RBC,,,,,,6,,
RBNT,,,,,,6,,
RC,,,,,,5,,
RCADE,,,,,,7,,
RCX,,,,,5,,,
RDAC,,,,,,6,,
RDDTON,,,,,,2,,
RDNT,7,,5,6,6,6,6,
RDO,,6,,,,,,
REACT,,,,,,5,,
READY,,,,,,6,,
REAL,,5,,,6,5,,
RECON,,,,,5,,,
RED,7,,4,4,4,4,,
REDO,,,,,,5,,
REDX,,,,,6,6,,
REEF,6,,,,,7,,
REGENT,,,,,5,,,
REI,7,,,,,6,,
REM,,,,,,6,,
REN,5,,,,,6,,
RENDER,7,3,3,4,3,3,3,
RENQ,,,,,,6,,
RENTA,,,,,,6,,
REQ,,,,5,,,,
RESOLV,7,5,5,5,5,5,5,
RETARDIO,,,,,6,,,
RETIK,,,,,,7,,
REX,,,,,,7,,
REZ,7,6,6,6,6,6,,
RFC,,,,,6,6,,
RFR,,,,,,,6,
RFRM,,,,,,5,,
RHEA,,,,,5,5,,
RICE,,,,,,6,,
RIF,7,,,,6,5,,
RIO,,,,,,4,4,
RION,,,,,,4,,
RIOTON,,,,,,3,,
RIS,,,,,6,,,
RISE,,,,,,6,,
RITE,,,,,,6,,
RIZ,,,,,,7,,
RIZE,,,,,,5,,
RIZO,,,,,,8,,
RIZZMAS,,,,,9,,,
RJV,,,,,,6,,
RLC,4,4,,4,,4,,
RLUSD,,,,4,,,,
RMV,,,,,,5,,
RNT,,,,,,7,,
ROAM,,,,5,6,5,,
ROG,,,,,,4,,
RON,,,4,,,4,4,
ROOT,,,,,,6,,
ROSE,5,5,5,6,,5,,
ROUTE,,,,,,6,,
ROVR,,,,,,6,,
RPL,7,3,3,3,3,3,3,
RSC,,,,,,4,,
RSR,6,6,6,6,6,6,6,
RSS3,,,,,5,5,5,
RST,,,,,,6,,
RTF,,,,,,5,,
RTX,,3,,,,3,,
RUJI,,,,,,4,,
RUNE,4,4,4,4,,4,,
RUSSELL,,5,,,6,6,,
RVF,,,,,,5,,
RVN,5,5,6,6,6,6,5,
RWA,,,,,6,6,,
RWAINC,,,,,,5,,
RX,,,,,5,,,
RXD,,,,,,6,,
RXS,,,,,7,6,,
RYO,,,,,4,3,,
RZR,,,,,9,7,,
S,7,4,5,5,5,5,5,
SABAI,,,,,,6,,
SAFE,7,4,4,4,4,4,4,
SAGA,7,5,5,5,5,5,,
SAHARA,7,5,5,5,5,5,5,
SAI,,,,,,6,,
SAITAMA,,,,,5,,,
SAL,,,,,,5,,
SAMO,,,,,,7,,
SAN,,,,,6,,,
SAND,5,5,5,5,4,4,4,
SANTA,,,,,6,,,
SANTOS,7,3,3,,3,3,,
SAPIEN,7,5,5,5,5,5,,
SAROS,,,,6,6,6,,
SATS,,,,,,11,11,
SATX,,,,,,8,,
SAUBER,,,,,,4,,
SAUCE,,,,,,5,,
SAVM,,,,,,5,,
SBETON,,,,,,3,,
SBR,,,,,5,,,
SBTC,,,,,,2,,
SC,6,,,6,5,6,,
SCA,,,,,5,4,,
SCAM,,,,,,6,,
SCARCITY,,,,,,5,,
SCCP,,,,,,5,,
SCF,,,,,7,7,,
SCOTTY,,,,,,7,,
SCPT,,,,,,7,,
SCR,7,4,4,5,5,5,5,
SCRT,7,4,4,5,4,4,,
SD,,,,4,,4,4,
SDEX,,,,,,6,,
SDM,,,,,,6,,
SEAM,,,,,,4,,
SEDA,,,,,,5,,
SEED,,,,,,7,,
SEI,7,4,5,5,4,4,4,
SEIYAN,,,,,,6,,
SEN,,,,,,6,,
SEND,,,,,6,4,,
SENSO,,,,,,6,,
SERAPH,,,,,5,5,,
SERO,,,,,,,4,
SERSH,,,,,,4,,
SERV,,,,,,5,,
SFI,,,,,,6,,
SFP,4,4,4,4,4,4,,
SFUND,,,,,,5,,
SGB,,,,,,7,,
SGT,,,,,,4,,
SHADOW,,,,,3,3,,
SHARDS,,,,,,7,,
SHELL,7,5,5,5,5,5,,
SHIB,,9,9,,8,9,9,
SHIBDOGE,,,,,14,,,
SHIDO,,,,,,7,,
SHIRO,,,,,12,12,,
SHM,,,,,,7,,
SHOGGOTH,,6,,,6,,,
SHOPON,,,,,,2,,
SHR,,,,,,7,,
SHX,,,,,,6,,
SIDUS,,,,,,8,,
SIGMA,,,,,6,5,,
SIGN,7,5,5,5,5,5,,
SILO,,,,,,5,,
SIN,,,,,,7,,
SIREN,7,5,5,5,5,,,
SISC,,,,,4,,,
SIX,,,,,4,5,,
SKATE,7,,,,6,6,,
SKI,,,,,5,6,,
SKL,5,5,5,6,,5,5,
SKORAI,,,,,,5,,
SKX,,,,,,3,,
SKY,7,5,5,5,,5,5,
SKYA,,,,,,6,,
SKYAI,7,5,5,5,5,,,
SLAY,,,,,6,6,,
SLC,,,,,,8,,
SLERF,7,,,,,6,,
SLF,,,,,,7,,
SLIM,,,,,,5,,
SLING,,,,,,7,,
SLP,7,6,6,7,,7,6,
SLV,,,2,,,,,
SLVON,,,,,,2,,
SMARS,,,,,,12,,
SMART,,,,,,6,,
SML,,,,,,7,,
SMT,,,,,,4,,
SMURFCAT,,,,,,8,,
SMX,,,,,,6,,
SN,,,,,,,5,
SN51,,,,,,2,,
SN64,,,,,,2,,
SNA,,,,,5,,,
SNAI,,,,,,6,,
SNEK,,,,,8,7,,
SNFT,,,,,,5,,
SNIFT,,,,,,7,,
SNOWON,,,,,,2,,
SNPT,,,,,,5,,
SNS,,,,,,7,,
SNSY,,,,,,6,,
SNT,7,,5,5,,5,5,
SNX,3,3,4,4,4,4,4,
SOGNI,,,,,,6,,
SOIL,,,,,,5,,
SOL,4,3,3,2,2,2,2,
SOLAMA,,,,,,6,,
SOLO,,,,,,5,,
SOLV,7,5,5,5,5,5,,
SOLVEX,,,,,,4,,
SOLX,,,,,7,,,
SOMI,7,4,4,4,4,4,,
SONIC,7,,5,5,5,5,5,
SOON,7,5,4,4,4,4,,
SOPH,7,6,5,5,5,5,5,
SORA,,,,,6,,,
SOSO,,,,4,4,4,,
SOULS,,,,,,6,,
SP,,,,,,6,,
SPA,,,,,,6,,
SPACE,,,,,,4,,
SPARKLET,,,,,,5,,
SPCM,,,,,,7,,
SPEC,,,,,,4,,
SPELL,7,,7,7,7,7,,
SPIKE,,,,,8,,,
SPK,7,5,5,5,5,5,5,
SPON,,,,,6,6,,
SPOTON,,,,,,2,,
SPURS,,,,,,,3,
SPX,7,4,4,4,4,4,,
SPYON,,,,,2,2,,
SPYX,,,,,4,2,,
SQD,7,5,5,5,,5,,
SQGROW,,,,,,6,,
SQT,,,,,,7,,
SRM,4,,,,,6,,
SRX,,,,,,5,,
SSS,,5,,,,,,
SSV,6,3,3,3,3,3,3,
STAR,,,,,,5,,
STARL,,,,,,10,,
STAT,,,,,,5,,
STAU,,,,,5,5,,
STBL,7,5,5,5,5,5,,
STBU,,,,,,5,,
STEEM,6,,5,5,,5,,
STETH,,,,,,2,2,
STG,7,4,4,5,4,4,,
STMX,5,,,,,,,
STO,7,5,5,5,4,5,,
STONKS,,,,,7,,,
STOOS,,,,,4,4,,
STOP,,,,,,5,,
STORJ,4,4,4,5,4,4,4,
STORM,,,,,,5,,
STOS,,,,,,5,,
STRAX,7,5,,,,,,
STREAM,,,,,,5,,
STRIKE,,,,,,6,,
STRK,7,4,4,5,5,5,5,
STRM,,,,,,7,,
STUFF,,,,,,5,,
STUPID,,,,,6,,,
STX,7,4,4,4,,4,4,
SUI,6,4,4,4,4,4,4,
SUIP,,,,,,5,,
SUKU,,,,,,5,,
SUMMIT,,,,,7,7,,
SUN,7,6,6,6,,6,,
SUNCAT,,,,,,7,,
SUNDOG,,,,,6,5,,
SUP,,5,,,,5,,
SUPER,7,4,4,4,,,,
SUPRA,,,,,,7,,
SUSHI,4,4,4,4,4,4,1,
SUT,,,,,5,3,,
SVL,,,,,,6,,
SVN,,,,,,7,,
SVTS,,,,,,5,,
SWAN,,,,,6,,,
SWAP,,,,,,5,,
SWARMS,7,,,6,5,5,,
SWCH,,,,,4,4,,
SWEAT,,,,,,6,6,
SWELL,7,,,,,6,,
SWFTC,,,,,,6,6,
SWGT,,,,,5,5,,
SXCH,,,,,,7,,
SXP,4,,,5,5,5,,
SXT,7,5,5,5,5,5,,
SYL,,,,,,7,,
SYM,,,,,,,8,
SYN,7,5,5,5,5,5,,
SYND,,,,,5,5,,
SYNT,,,,,,5,,
SYRUP,7,5,4,5,4,5,,
SYS,7,,5,5,5,5,,
T,7,,5,6,6,6,6,
TA,7,5,,5,,5,,
TAC,7,6,6,6,,6,,
TADA,,,,,,6,,
TAG,7,7,7,,,7,,
TAI,,5,5,5,,5,,
TAIKO,7,4,4,4,4,4,,
TAIX,,,,,,7,,
TAKE,7,5,5,,,5,,
TALE,,,,,,6,,
TALENT,,,,,,6,,
TANSSI,7,,,,,5,,
TAO,2,2,2,2,1,2,,
TAP,,,,,,4,,
TARA,,,,,,7,,
TATSU,,,,,,3,,
TBC,,,,,4,3,,
TCAPY,,,,,,8,,
TCOM,,,,,,5,,
TCT,,,,,,5,,
TDS,,,,,,5,,
TDX,,,,,4,,,
TEE,,,,,4,,,
TEL,,6,,,,6,,
TEN,,,,,,7,,
TERMINUS,,,,,6,,,
TET,,,,,,4,,
TEVA,,,,,,6,,
TFI,,,,,,5,,
TFT,,,,,,,4,
TFUEL,,5,,,,5,,
THE,7,4,4,4,4,4,,
THETA,4,4,4,4,3,,4,
THINK,,,,,,5,,
THL,,,,,,4,,
TIA,7,4,4,4,4,4,4,
TIBBIR,,,,,5,5,,
TICO,,,,,,7,,
TICS,,,,,,5,,
TIG,,,,,4,,,
TIMI,,5,,,,5,,
TIT,,,,,6,6,,
TJRM,,,,,6,6,,
TKO,,,,,,5,,
TLM,7,6,6,6,6,6,,
TLOS,,,,,,5,,
TLTON,,,,,,2,,
TNSR,7,5,5,5,5,5,5,
TOKABU,,,,,6,,,
TOKEN,7,,,,6,6,,
TOM,,,,,,6,,
TON,7,,4,4,3,3,3,
TOP,,,,,,6,,
TORN,,,,,,3,,
TOSHI,7,7,7,,7,7,7,
TOWER,,,,,,7,,
TOWNS,7,6,6,6,6,6,,
TPT,,,,,,6,,
TPTU,,,,,,5,,
TRA,,,,,,,4,
TRAC,,4,,,,4,,
TRADE,,,,,,5,,
TRADOOR,7,3,,,,4,,
TRAVA,,,,,,7,,
TRAX,,,,,8,,,
TRB,3,3,3,2,2,,2,
TRC,,,,,,5,,
TRCL,,,,,,7,,
TREAT,,,,,,7,,
TREE,7,4,4,5,4,4,,
TREMP,,,,,6,,,
TRENCHER,,,,,6,,,
TRHUB,,,,,5,,,
TRIBE,,,,,,4,,
TRIO,,,,,,5,,
TRISIG,,,,,,6,,
TRN,,,,,,5,,
TROLL,,,,,6,12,,
TROY,7,,,,,,,
TRT,,,,,,4,,
TRU,7,5,5,6,,6,,
TRUF,,,,,,5,,
TRUMP,6,,3,3,,3,3,
TRUST,7,4,5,5,,4,,
TRUU,,,,,,7,,
TRVL,,,,,,6,,
TRWA,,,,,6,6,,
TRX,5,5,5,5,4,4,5,
TSLA,,,2,,,,,
TSLAON,,,,,2,2,,
TSLAX,,,,,2,2,,
TSMON,,,,,,2,,
TST,7,5,,,5,5,,
TSUKA,,,,,,6,,
TT,,,,,0,,,
TTM,,,,,,6,,
TUNA,,,,,,5,,
TUP,,,,,,5,,
TURBO,7,7,6,,6,6,6,
TUSD,,,,,,4,,
TUT,7,5,5,6,5,6,,
TWT,6,4,,4,4,4,,
TXC,,,,,,3,,
TXT,,,,,,5,,
U,,,,,,6,,
U2U,,,,,,6,,
UAI,7,4,5,5,,4,,
UB,7,6,5,6,6,5,,
UBERON,,,,,,2,,
UBU,,,,,,6,,
UBX,,,,,,9,,
UBXS,,,,,,6,,
UCN,,,,,4,2,,
UCX,,,,,5,,,
UDAO,,,,,,5,,
UDS,,,,,4,4,,
UFD,,,,,,6,,
UGOLD,,,,,4,,,
ULTI,,,,,7,7,6,
ULTIMA,,1,,,2,2,,
UMA,6,4,4,4,4,4,4,
UMM,,,,,4,,,
UNFI,3,,,,,5,,
UNHON,,,,,,2,,
UNI,4,3,3,3,3,3,3,
UNIBOT,,,,,,3,,
UNITE,,,,,,7,,
UNP,,,,,,5,,
UPC,,,,,6,4,,
UPO,,,,,,5,,
UPT,,,,,,5,,
URANUS,,,,,5,5,,
USA,,,,,10,,,
USD1,,,,4,4,4,4,
